miRNA	Contrast	Dir	Info	Source
hsa-miR-150-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30d-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-15b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-206	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-10b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30e-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-374a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-130a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-10a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-181a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-126-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-193a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-342-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-342-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-190b	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-29c-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-29c-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-342-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-149-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-224-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-505-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-135b-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-26a-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-9-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-9-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-499a-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-99b-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-146b-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-505-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-18a-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-517c-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-29b-2-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-125a-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-let-7b-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-let-7e-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-452-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-let-7i-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-18b-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-517a-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-378a-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-106b-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-623	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-522-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-let-7e-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-25-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-519a-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-30a-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-625-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-374a-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-92a-1-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-24-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-521	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-30a-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-101-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-101-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-148b-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-326	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-181d-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-92b-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-516a-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-432-5p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-10b-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-489-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-17-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-375	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-20a-5p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-103a-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-25-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-19b-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-27a-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-30c-2-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-155-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-let-7a-3p	subtype1 vs substype2	Up	subtype1 vs substype2	dbDEMC
hsa-miR-23a-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-31-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-18a-3p	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
hsa-miR-577	subtype1 vs substype2	Down	subtype1 vs substype2	dbDEMC
